Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
LogisticRegression(),0.7,0.23529411764705882,0.19047619047619047,0.21052631578947367,0.512959614225437
KNeighborsClassifier(),0.775,0.2857142857142857,0.047619047619047616,0.08163265306122448,0.5079867389993973
SVC(),0.785,0.0,0.0,0.0,0.49683544303797467
DecisionTreeClassifier(),0.735,0.2962962962962963,0.19047619047619047,0.2318840579710145,0.5351115129596142
RandomForestClassifier(),0.79,0.0,0.0,0.0,0.5
GradientBoostingClassifier(),0.76,0.125,0.023809523809523808,0.04,0.48975286317058464
AdaBoostClassifier(),0.755,0.23076923076923078,0.07142857142857142,0.10909090909090909,0.5040687160940325
GaussianNB(),0.555,0.1780821917808219,0.30952380952380953,0.22608695652173913,0.46488848704038577
RidgeClassifier(),0.695,0.1724137931034483,0.11904761904761904,0.14084507042253522,0.4835744424352019
ExtraTreesClassifier(),0.775,0.3333333333333333,0.07142857142857142,0.11764705882352941,0.5167269439421338
